"Start","End","ticker_symbol","ticker_price","ticker_compname","ticker_min","ticker_max","ticker_fct"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TRA","2.75","TERRA INDUSTRIES INC","2.8125","3.6875","1.3111111111111111"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TNH","5.5","TERRA NITROGEN CO LP","5.0","7.1875","1.4375"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CNP","6.875","CROWN CENTRAL PETROLEUM CORP","5.5","7.25","1.3181818181818181"
"09.01.2000 1:0:0","29.01.2000 1:0:0","GSPT","20.0625","GLOBAL SPORTS INC","14.0","19.875","1.4196428571428572"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CRTK","23.0","COORSTEK INC","17.5","23.0","1.3142857142857143"
"09.01.2000 1:0:0","29.01.2000 1:0:0","USPL","9.8125","U S PLASTIC LUMBER CORP","7.71875","9.375","1.214574898785425"
"09.01.2000 1:0:0","29.01.2000 1:0:0","VCIC","1.875","VISKASE COMPANIES INC","2.0","2.8125","1.40625"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SNKI","1.125","SWANK INC","1.0625","1.28125","1.2058823529411764"
"09.01.2000 1:0:0","29.01.2000 1:0:0","APOG","4.53125","APOGEE ENTERPRISES INC","4.625","5.625","1.2162162162162162"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CVOL","0.875","COVOL TECHNOLOGIES INC","0.84375","1.03125","1.2222222222222223"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ALGSF","1.8125","ALGOMA STEEL INC","1.5","1.875","1.25"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SMCX","3.9375","SPECIAL METALS CORP","3.0","4.0","1.3333333333333333"
"09.01.2000 1:0:0","29.01.2000 1:0:0","BY","4.9375","B W A Y CORP","3.875","6.0625","1.564516129032258"
"09.01.2000 1:0:0","29.01.2000 1:0:0","MTIN","1.75","MARTIN INDUSTRIES INC","1.5625","1.96875","1.26"
"09.01.2000 1:0:0","29.01.2000 1:0:0","AATK","5.75","AMERICAN ACCESS TECHNOLOGIES INC","5.8125","7.75","1.3333333333333333"
"09.01.2000 1:0:0","29.01.2000 1:0:0","OEA","5.8125","O E A INC","4.6875","6.0","1.28"
"09.01.2000 1:0:0","29.01.2000 1:0:0","BOOM","1.75","DYNAMIC MATERIALS CORP","1.71875","2.125","1.2363636363636363"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ASTE","23.5","ASTEC INDUSTRIES INC","16.75","22.375","1.335820895522388"
